slang,formal
netaas,menetas
nyenengin,menyenangkan
gemesiin,menggemaskan
saranin,menyarankan
nemuin,menemukan
ngikutin,mengikuti
nyamain,menyamakan
nyangka,menyangka
nyebur,mencebur
ngomong,mengomong
mamer,memamerkan
kebukaaa,terbuka
ngeliatnya,melihatnya
mantes,memantas
ngakak,mengakak
nakutin,menakutkan
megang,memegang
kawinin,mengawini
liatin,memperlihatkan
gemesin,menggemaskan
fotoin,memfoto
ngaku,mengaku
bungkusin,bungkuskan
ngegantiin,menggantikan
ngapain,mengapai
ninggalin,meninggalkan
gantiin,menggantikan
dimusiumin,dimuseumkan
ikutin,mengikuti
kunjungin,kunjungi
diluangin,diluangkan
nangis,menangis
"ngaku""",mengaku-ngaku
kejawab,terjawab
kebalas,terbalas
ikutin,ikuti
nyempetin,menyempatkan
ngobrol,mengobrol
namain,menamai
liatin,perlihatkan
sisain,menyisakan
nyari,mencari
ngerti,mengerti
nyanyiin,menyanyikan
ngajak,mengajak
nyaru,menyaru
milikin,memiliki
kirain,mengira
nyeplak,menjiplak
diputusin,diputuskan
ngadain,mengadakan
rekomendasiin,merekomendasikan
bosenin,membosankan
bayangin,bayangkan
nyesel,menyesal
besarin,membesarkan
ngelarang,melarang
ngeliat,melihat
nyampe,sampai
kbawa,terbawa
nikahin,menikahi
nyambung,menyambung
dapetin,mendapati
beliin,membelikan
ngerasa,merasa
ngeselin,mengesalkan
rasain,rasai
ngelihatnya,melihatnya
ngocok,mengocok
nyoba,mencoba
diginikan,dibeginikan
gambarin,gambarkan
digambarin,digambarkan
ngaco,mengaco
ngomen,mengomentari
nontonx,menontonnya
kepingin,pengin
ngantri,mengantri
nraktir,mentraktir
nonton,menonton
nontonya,menontonnya
nunggu,menunggu
banggain,banggakan
bagiin,bagikan
nanggepin,menanggapi
kirimin,mengirimi
senengin,senangi
ngasih,mengasih
nyangkaa,menyangka
nungguin,menunggu
ngeluarin,mengeluarkan
adain,mengadakan
buktiin,buktikan
buktiin,membuktikan
nyebelin,menyebalkan
ngilangin,menghilangkan
ledekin,ledeki
ninggiin,meninggikan
balesin,membalas
ngegemesin,menggemaskan
jagain,jaga
ngekeh,kekeh
ngelihat,melihat
ngelawak,melawak
nyolotinnnn,menyolot
smnagatin,menyemangati
ngakaaaakkk,mengakak
ngekek,mengekek
pegangin,memegang
nyender,menyandar
manjain,memanjakan
peleotin,meleot
nyatakan,menyatakan
nyindir,menyindir
jagain,menjaga
diemin,diamkan
hancurin,menghancurkan
diapain,diapakan
haragain,menghargai
nyakitin,menyakiti
nyinyirin,nyinyir
nyerang,menyerang
ngomomg,mengomong
ngamatin,mengamati
ngintip,mengintip
ngintilin,mengintil
nyambet,menyambat
milih,memilih
nasehatin,menasihati
ngaca,mengaca
nari,menari
kebagi,terbagi
nerusin,meneruskan
aplikasiin,mengaplikasikan
praktekin,mempraktikkan
ngebales,membalas
ngurusan,mengurusi
campurin,mencampuri
ngata2in,mengata-ngatai
perbaikin,memperbaiki
jauhin,jauhi
diurusin,diurusi
biarin,biarkan
dibangga'in,dibangga-banggakan
ngebolehin,membolehkan
"jelek""in",menjelek-jelekkan
maksain,memaksakan
nolongin,menolong
ngurusin,mengurusi
nengok,menengok
komenannya,komentarnya
hadapin,menghadapi
dengarin,mendengarkan
ngerasain,merasai
saranin,sarankan
urusin,mengurusi
nyaranin,menyarankan
tongolin,menongol
dpt,dapat
ngasih2,mengasih-ngasih
ngajuin,mengajukan
tunjukin,tunjukkan
nyampein,menyampaikan
naksir,menaksir
nafkahin,menafkahi
ngitem,menghitam
nanya,tanya
beliin,belikan
nambah,bertambah
kebawa,terbawa
motret,memotret
nyeniii,menyeni
dihargain,dihargai
nganbek,mengambek
mendam,memendam
nyangkutnya,menyangkutnya
dijelekin,dijelekkan
tambahim,tambahkan
tambahin,tambahkan
make,memakai
nyusul,menyusul
ngiri,mengiri
nentuin,menentukan
ngiritya,mengiritnya
kebukti,terbukti
nyebut2,menyebut-nyebut
ngrebut,merebut
lupain,melupakan
nyimak,menyimak
"ngumpet""",mengumpet-ngumpet
ngerebut,merebut
ngomentnya,mengomentarinya
nusuk,menusuk
kepoin,mengepoi
keluarin,mengeluarkan
omongin,mengomongkan
ngalirrrrr,mengalir
ngehujat,menghujat
ngebela,membela
senyumin,senyumi
ngalir,mengalir
ngrusak,merusak
bilangin,bilang
nyambungin,menyambung
nggali,menggali
nangiiiiis,menangis
nangiiis,menangis
ngomentarin,mengomentari
ngomongin,mengomongkan
ngehina,menghina
natap,menatap
difotoin,difoto
ngiriii,mengiri
buatin,buatkan
kebayang,terbayang
ngerayain,merayakan
buatin,membuat
bikinin,bikin
bikinin,membikin
diginiin,dibeginikan
nyatok,mencatok
nyampenya,sampainya
goncengin,boncengkan
dianterin,diantar
dianterin,diantarkan
anterin,antar
ngantar,mengantar
nganterin,mengantarkan
nerima,menerima
anterin,antarkan
dianter,diantar
disupirin,disopiri
bedain,membedakan
ketuker,tertukar
dikemanain,dikemanakan
ngajarin,mengajari
sampein,sampaikan
netes,menetes
ngajar,mengajar
nangiss,menangis
nnton,menonton
meluk,memeluk
niru,meniru
ngademin,mengademkan
keluarin,keluarkan
bagiin,membagikan
temenan,berteman
ngepoin,mengepoi
gituin,begitukan
giniin,beginikan
ngelahirin,melahirkan
paksain,memaksa
nerawang,menerawang
nyolot,menyolot
ngetik,mengetik
sewain,menyewa
liatiii,lihat
ngegmesin,menggemaskan
ngareppppp,mengharap
ngatain,mengatai
ditutupin,ditutupi
ngomongnya,mengomongnya
nyerocooooos,mencerocos
ngilang,menghilang
dikatain,dikatai
ngalahin,mengalahkan
nutupin,menutupi
ngebuktiin,membuktikan
digituin,dibegitukan
sekolahin,sekolahkan
ajarin,ajarkan
nanya,bertanya
nantangin,menantang
ngegampar,menggampar
ngelaporin,melaporkan
salahin,salahkan
dikerasin,dikerasi
ngulangin,mengulangi
ngadu,mengadu
dimarahin,dimarahi
nyelesain,menyelesaikan
kerasin,kerasi
ngapain,mengapa
nuduh,menuduh
ngatur,mengatur
pukulin,pukuli
komentarin,komentari
masukin,memasukkan
dilindungin,dilindungi
tinggalin,tinggalkan
ngatai,mengatai
ambilin,mengambil
rekomendain,rekomendasikan
dijadiin,dijadikan
mutihin,memutihkan
dipermainin,dipermainkan
lurusin,meluruskan
ngasi,mengasih
peragain,peragakan
nawarin,menawari
ajakin,mengajak
ketara,tertara
namain,namai
ngriii,mengiri
paksain,memaksakan
ngecek,mengecek
diajarin,diajari
cariin,carikan
nyusahhin,menyusahkan
omongin,omongkan
nyusahin,menyusahkan
dibanggain,dibanggakan
"bangga""in",membangga-banggakan
dibnggain,dibanggakan
drimana,darimana
ngepake',memakai
nuntut,menuntut
ngebiarin,membiarkan
jadiin,jadikan
nyampah,menyampah
ngerussak,merusak
bellain,membela
ngebelain,membela
komentarin,mengomentari
nampak,menampak
nambah,menambah
kepoin,kepoi
cobain,coba
kenalin,mengenalkan
nambahh,bertambah
nampar,menampar
mancungin,memancungkan
ketawain,mentertawakan
ngejatuhin,manjatuhkan
ngelakuin,melakukan
ngata2in,mengatai-ngatai
dibiarin,dibiarkan
nyadar,menyadari
nyadar,sadar
mikirin,memikirkan
ciptain,ciptakan
ngingetin,mengingatkan
narik,menarik
dngerin,mendengarkan
dengerin,dengarkan
pahamin,pahami
jogetin,berjoget
minta,meminta
beliiin,belikan
tanyain,tanyakan
banyakin,membanyaki
melebihin,melebihi
ndukung,mendukung
sembuhin,menyembuhkan
ngoceh,mengoceh
kepelesett,terpeleset
dimasukin,dimasuki
jelekin,menjelekkan
jahatin,menjahati
masukin,memasuki
gtw,enggak tau
nulis,menulis
nyebutin,menyebutkan
ngertiin,mengerti
rasaiin,rasai
nyalahin,menyalahkan
bedainnya,membedakannya
pandanginya,memandanginya
kenaliiin,kenalkan
ngebenci,membenci
maafin,memaafi
halangin,halangi
adapin,menghadapi
ngehakimi,menghakimi
ngejuangin,memperjuangkan
dipojokin,dipojokkan
bacotin,bacoti
maksir,menaksir
ngejelek,menjelekkan
nahan,menahan
ngrasain,merasai
ngarang,mengarang
ketarik,tertarik
ngorbanin,mengorbankan
bandingin,bandingkan
badingkan,membandingkan
ngurus,mengurus
lanjutin,lanjutkan
ributin,meributkan
belain,membela
nyerocos,mencerocos
ngomenin,mengomentari
ladenin,meladeni
ngumung,mengomong
ilang-in,hilangkan
lepasin,melepas
dengerin,mendengarkan
ngaji,mengaji
nyupir,menyopir
duetin,duet
ngucapin,mengucapkan
kepikir,terpikir
ngalah,mengalah
ngumbar,mengumbar
hapusin,hapuskan
mutusin,memutuskan
ngapus,menghapus
mutuain,memutuskan
ngirim,mengirim
ngidam,mengidam
maapin,maaf
ngebala,bala
nyadar,menyadar
nyesell,menyesal
catokin,catok
hilangin,menghilangkan
gemesinnnnn,menggemaskan
ngarep,mengharap
kepoin,kepo
ngelawan,melawan
diingetin,diingatkan
mandiin,memandikan
nguburin,menguburkan
ngebedain,membedakan
nyia2in,menyia-nyiakan
apain,apai
ngebantu,membantu
kenalin,kenalkan
janjutin,lanjutkan
tutupin,menutupi
botakin,botaki
ngayal,mengkhayal
perhatiin,perhatikan
bantuim,bantu
garemin,garami
ngiringan,mengiringi
cobain,mencoba
rekomendasiin,rekomendasikan
nyaranin,menyarani
batesin,batasi
ngeidealin,mengidealkan
kartunin,kartun
maapin,maafi
ditayangin,ditayangkan
meranin,memerankan
nontonny,menontonnya
rekomendasiiin,merekomendasikan
ngeditnya,mengeditnya
ngelucu,melucu
benarin,membenarkan
miara,memiara
jalanani,menjalani
rumpiin,rumpi
ciptain,menciptakan
urusin,urus
melihara,memelihara
jalanin,menjalani
ngejelek2in,menjelek-jelekkan
ungkapin,ungkapkan
naggung,menanggung
nyubit,mencubit
ngambek,mengambek
nginjek,menginjak
rasain,merasai
didatengin,didatangi
nyanyiin,nyanyikan
nyanyiin,menyanyi
dapetin,mendapatkan
nyobain,mencoba
keinget,teringat
gangguin,mengganggu
nangiis,menangis
mansetan,bermanset
nikmatin,menikmati
ngakakkk,mengakak
dinyanyiin,dinyanyikan
nyengir,menyengir
nangisss,menangis
ngambekan,ambekan
kemakan,termakan
ngambeknya,mengambeknya
kebongkar,terbongkar
diladenin,diladeni
ngedukung,mendukung
ternodain,ternodai
ingetin,mengingatkan
benahin,membenahi
ngembali,kembali
ngimpi,mimpi
ngerampas,merampas
ngehancurin,menghancurkan
dipikirin,dipikirkan
nunduk,menunduk
nyubitt,mencubit
mitnah,memfitnah
kpancing,terpancing
lakuin,melakukan
nyindirin,menyindir
ketipu,tertipu
gosipin,menggosipkan
ngelewati,melewati
ngerendahin,merendahkan
nimpuk,menimpuk
nembak,menembak
nyela,mencela
ngejilat,menjilat
deketin,dekati
nyimpen,menyimpan
ngarsipin,mengarsipkan
nyesek,menyesak
kurangin,kurangi
nyolong,mencolong
nempel,menempel
peduliin,mempedulikan
didengerin,didengarkan
ngerespon,merespons
pahamin,memahami
ngeliatin,melihati
ngumbar2,mengumbar-umbar
nganggepin,menanggapi
ngacaaa,mengaca
ngolokin,mengolok
ngurusin,mengurus
kenalin,memperkenalkan
ucapin,mengucapkan
melahirin,melahirkan
salfok,salah fokus
cd,celana dalam
gbs,enggak bisa
makasih,terima kasih
gda,enggak ada
ngapasih,mengapa sih
yaampuuuunnnn,ya ampun
gada,enggak ada
mksh,terima kasih
yaudh,ya sudah
gakuat,enggak kuat
baperr,bawa perasaan
baper,bawa perasaan
gpp,enggak apa-apa
gausah,enggak usah
maho,manusia homo
gapap,enggak apa-apa
ortu,orang tua
orlaen,orang lain
omdo,omong doang
samara,sakinah mawadah rahman
jadulnya,jaman dulunya
yawlah,ya allah
gausa,enggak usah
gatau,enggak tau
gnyngka,enggak menyangka
gajelas,enggak jelas
ortunya,orang tuanya
promil,program hamil
sotoy,sok tau
mupeng,muka pengin
gasih,enggak sih
makasi,terima kasih
maacih,terima kasih
bape,bawa perasaan
pede,percaya diri
gapernah,enggak pernah
gemesyak,gemas ya
maksih,terima kasih
gabisa,enggak bisa
gamau,enggak mau
orrunya,orang tuanya
trims,terima kasih
autuhh,tau tuh
gksalah,enggak salah
oplas,operasi plastik
fotbar,foto bareng
gakpapa,enggak apa-apa
kalogak,kalo enggak
bolang,bocah petualang
saltummmm,salah kostum
siapayahh,siapa ya
cubanget,lucu banget
gakusah,enggak usah
cogan,cowok ganteng
gaje,enggak jelas
gabakal,enggak bakal
murmer,murah meriah
nobar,menonton bareng
gaprgi,enggak pergi
sampis,sampah habis
mksih,terima kasih
bronis,brondong manis
gapunya,enggak punya
ortuny,orang tuanya
gapake,enggak pakai
mskasih,terima kasih
pd,percaya diri
gasalah,enggak salah
gksi,enggak sih
kekgini,kayak begini
loksyut,lokasi syuting
bapeerr,bawa perasaan
gaada,enggak ada
warkop,warung kopi
gakwad,enggak kuat
debay,adek bayi
gmau,enggak mau
gataunya,enggak taunya
gtau,enggak tau
gaharus,enggak harus
keles,kali
jerewi,jerawat
mimin,admin
ae,saja
binggo,banget
jendess,janda
gokil,gila
gokill,gila
gokiiill,gila
gokilnya,gilanya
dumsss,dong
rempong,repot
awoohhh,allah
wadaaw,waduh
gokillllll,gila
tokayyy,tahi
toketnya,teteknya
gokilll,gila
eyke,aku
boker,berak
mboizzz,bois
komuk,muka
repong,repot
koplak,kocak
jendes,janda
jendesss,janda
lekong,laki
dhe,deh
dy,dia
gw,gue
qu,ku
ijap,ijab
donk,dong
mw,mau
q,ku
sexxi,seksi
maksutku,maksudku
qta,kita
hay,hai
mataq,mataku
ucullllll,lucu
ucul,lucu
kuyy,yuk
kuy,yuk
tebir,ribet
"tebir""",ribet-ribet
ucull,lucu
fatanik,fanatik
kuyyy,yuk
woles,selow
gemess,gemas
sempet,sempat
mantep,mantap
pengen,pengin
inget,ingat
bingitsss,banget
pingin,pengin
ameen,amin
bangat,banget
bingiit,banget
tetep,tetap
kite,kita
males,malas
ngemeng,mengomong
epe,apa
seehh,sih
dapet,dapat
alloh,allah
benet,benar
temenn,teman
blom,belum
kobul,kabul
pantes,pantas
beneran,benaran
kamo,kamu
heii,hai
sey,sih
dunk,dong
muke,muka
bingit,banget
kesampean,kesampaian
bulet,bulat
pengan,pengin
simpen,simpan
geh,gih
waww,wow
samoga,semoga
abeees,habis
beneraan,benaran
padet,padat
temen,teman
gemesnya,gemasnya
gemesss,gemas
sampek,sampai
bagaatt,banget
kanapa,kenapa
baek,baik
bener,benar
bingits,banget
yuppss,ya
maen,main
yup,ya
malem,malam
kate,kata
sasama,sesama
kayanye,kayanya
wewww,wow
dateng,datang
kale,kali
denger,dengar
bingittzz,banget
widihh,waduh
mantepp,mantap
burem,buram
kancang,kencang
subhanalloh,subhanallah
seneng,senang
cabol,cabul
ape,apa
hidiyah,hidayah
terbaeq,terbaik
maenya,mainnya
naek,naik
kemuh,kamu
pinginnn,pengin
seeh,sih
dahh,deh
aurot,aurat
amen,amin
yeeee,ya
hellooooooo,halo
bangkret,bangkrut
helo,halo
serem,seram
pedes,pedas
terossss,terus
seh,sih
dah,deh
cucokkk,cocok
helloo,halo
yee,ya
kedengeran,kedengaran
yaoloh,yaallah
yok,yuk
macem,macam
bagusnyeee,bagusnya
kemaren,kemarin
waw,wow
canteek,cantik
bosen,bosan
ayuk,ayo
aer,air
manteep,mantap
cepetan,cepatan
laen,lain
yokk,yuk
weeeh,wih
sehh,sih
deket,dekat
dung,dong
kubarikan,kuberikan
didapet,didapat
mateeeek,mati
emesshhh,gemas
gemeessss,gemas
gemes,gemas
mao,mau
pinter,pintar
redho,ridho
sihat,sehat
cepet,cepat
pesen,pesan
dimao,dimau
prodak,produk
luco,lucu
ingeet,ingat
yooookkk,yuk
prodaknya,produknya
kenceng,kencang
diem,diam
muga,moga
wawwwww,wow
waaaww,wow
waaawwww,wow
bingiittt,banget
jatoh,jatuh
kusem,kusam
diemm,diam
bales,balas
salehah,salihah
seger,segar
aloh,allah
maso,masa
geeelaakk,gila
kostom,kostum
pengenn,pengin
elaaaahhhh,alah
yo,ya
suko,suka
gile,gila
tangkep,tangkap
lipetan,lipatan
kenape,kenapa
jilbabnye,jilbabnya
yep,ya
helooooo,halo
sebenernya,sebenarnya
prodac,produk
segerr,segar
yoo,ya
week,wig
modes,modis
tapo,tapi
gewlaaaaa,gila
abez,habis
aslinyo,aslinya
kalahnye,kalahnya
mato,mata
kareno,karena
cino,cina
meker,mikir
apo,apa
nyo,nya
menasehati,menasihati
penganten,pengantin
ne,ini
cucok,cocok
neh,nih
yaolohh,ya allah
tah,teh
ginting,ganteng
bingiiittzz,banget
yooow,ya
gemezz,gemas
padetan,padatan
hayuu,hayo
temennya,temannya
benerr,benar
dieee,dia
bingitt,banget
kaleee,kali
nee,ini
jaoooh,jauh
mateeeeeeeeeeee,mati
parsis,persis
sumpeh,sumpah
yook,yuk
yoookkkk,yuk
belom,belum
gemezzzz,gemas
bingitss,banget
manteb,mantap
tebel,tebal
benneeeeeerr,benar
pengennnn,pengin
gehh,gih
bingitzzzz,banget
cuco,cocok
sampe,sampai
mo,mau
bangke,bangkai
pake,pakai
pakek,pakai
ato,atau
bante,bantai
pakke,pakai
dipake,dipakai
troma,trauma
bangcat,bangsat
syantik,cantik
fikiran,pikiran
ea,ya
aza,saja
sie,sih
maap,maaf
donkk,dong
wado,waduh
ber2,berdua
aqu,aku
keq,kek
lau,kau
kog,kok
lw,lu
teruzzz,terus
22nya,dua-duanya
gemay,gemas
donx,dong
banged,banget
cantiq,cantik
lutuna,lucunya
ciapa,siapa
lutu,lucu
b3,bertiga
kw,kau
ciusss,serius
iaa,ya
pucing,pusing
busedh,buset
manusiy,manusia
donks,dong
mengperbolehkan,memperbolehkan
amad,amat
dya,dia
berfikir,berpikir
pilm,film
cini,sini
b2an,berduaan
hy,hai
azeeeek,asik
comen2nya,komen-komennya
doank,doang
expresi,ekspresi
coxok,cocok
gebleg,geblek
jidad,jidat
yawloh,ya allah
iaa,iya
yayang,sayang
ayank,sayang
anyeng,anjing
qaqaaaa,kakak
banx,bang
telimakacih,terima kasih
lutunaa,lucunya
tay,tahi
konsekwensi,konsekuensi
t4,tempat
bol3h,boleh
cewer,jewer
bilanh,bilang
kayax,kayak
atutt,takut
kalw,kalau
kox,kok
istiqomahhh,istikamah
gawl,gaul
aned,banget
coment,komen
frestasiii,prestasi
see,sih
gedeg,gedek
eey,eh
santab,santap
termiribkan,termiripkan
emeezzz,gemas
keak,kayak
berhijap,berhijab
istiqamah,istikamah
kayaq,kayak
pipine,pipinya
lucunaaa,lucunya
teyuss,terus
qo,kok
padhe,pakde
atw,atau
ityl,itil
walik,balik
kellen,kalian
berjinah,berzina
romantiz,romantis
emeshh,gemas
pacarane,pacarannya
tuwek,tua
mukae,mukanya
ultahe,ultahnya
bermaksut,bermaksud
istiqomah,istikamah
ngeuh,engah
sabal,sabar
azekkkk,asik
ciyusss,serius
sexi,seksi
recommendasi,rekomendasi
kha,kah
wik,wig
moqa,moga
yq,yang
basodaraa,bersaudara
sucses,sukses
teruz,terus
recomendasinya,rekomendasinya
pans,fan
kuliyh,kuliah
koq,kok
greged,greget
aneut,banget
cpa,siapa
uztad,ustad
kelus,kali
amfun,ampun
senyumna,senyumnya
aee,saja
luthuna,lucunya
dede,adek
gemez,gemas
tium,cium
dedeknya,adeknya
taw,tau
telefisi,televisi
cpit,sipit
sumvahh,sumpah
tamvann,tampan
capa,sapa
sypa,siapa
comen,komen
hijap,hijab
nie,nih
cantix,cantik
jelex,jelek
bangedd,banget
iyh,iya
cantiqs,cantik
liyatnya,lihatnya
kaciiaann,kasihan
b2,berdua
rezeqinya,rezekinya
maw,mau
positippp,positif
lutunaaa,lucunya
guw,gue
anedh,banget
s3ndiri,sendiri
kx,kak
canci,cantik
aneed,banget
uwee,gue
lhooo,loh
biza,bisa
mbakx,mbaknya
namax,namanya
w,gue
tutorialx,tutorialnya
g,enggak
ceritax,ceritanya
xlian,kalian
jakety,jaketnya
q,aku
u,untuk
baikxa,baiknya
x,kali
y,saya
komenx,komennya
artix,artinya
m,sama
statusx,statusnya
gagahx,gagahnya
mukax,mukanya
cantikx,cantiknya
z,saja
sibukx,sibuknya
soalx,soalnya
u,lu
taux,taunya
bisax,bisanya
y,nya
mamax,mamanya
adekx,adeknya
hidupx,hidupnya
c,sih
hotx,hotnya
cocokx,cocoknya
emakx,emaknya
gayax,gayanya
dosax,dosanya
pahalax,pahalanya
sayangx,sayangnya
jodohx,jodohnya
cintax,cintanya
anakx,anaknya
lucux,lucunya
j,saja
kaka,kakak
ka,kak
slalu,selalu
trus,terus
sii,sih
udah,sudah
aja,saja
tu,itu
skarang,sekarang
karna,karena
ngga,enggak
liat,lihat
ntar,entar
njir,anjir
ko,kok
gak,enggak
yu,yuk
keliatan,kelihatan
njerr,anjir
klo,kalo
masi,masih
pa,apa
ilang,hilang
mbil,sambil
yank,sayang
ntik,cantik
suru,suruh
ma,sama
atu,satu
khadirannya,kehadirannya
hayalanku,khayalanku
tuk,untuk
slama,selama
tuu,tuh
kasian,kasihan
bnerr,benar
smua,semua
bole,boleh
ama,sama
laa,lah
smoga,semoga
ni,ini
segitunya,sebegitunya
lairannya,kelahirannya
ajha,saja
ndak,indak
mrekaaaa,mereka
brani,berani
sperti,seperti
gilzz,gila
ntaf,mantap
ginii,begini
kmarin,kemarin
skitar,sekitar
kaa,kak
kakanya,kakaknya
gag,enggak
lha,lah
thu,tuh
ajaaa,saja
liad,lihat
kluarga,keluarga
skedar,sekadar
klow,kalau
liyat,lihat
engga,enggak
abes,habis
liatnya,lihatnya
negri,negeri
krudungan,kerudungan
ajaa,saja
njirr,anjir
gituh,begitu
pi,tapi
ntappp,mantap
bli,beli
udahh,sudah
gakk,enggak
nggak,enggak
uga,juga
njiirr,anjir
nda,indak
slamat,selamat
klau,kalau
taun,tahun
ughaa,juga
diliatnya,dilihatnya
itungan,hitungan
baget,banget
uda,sudah
pait,pahit
nie,ini
sbelah,sebelah
onoh,sono
blajar,belajar
trima,terima
mang,memang
stelah,setelah
branjak,beranjak
ajah,saja
slamet,selamat
ampe,sampai
pala,kepala
ajja,saja
oprasi,operasi
berangat,berangkat
stimpal,setimpal
mreka,mereka
kluar,keluar
tuuu,itu
mrangkul,merangkul
tar,entar
critamu,ceritamu
stiap,setiap
seluru,seluruh
kerjaan,pekerjaan
la,lah
skali,sekali
spertinya,sepertinya
jlek,jelek
udah2,sudah-sudah
skaligus,sekaligus
smakin,semakin
tunjukan,tunjukkan
ni,nih
mba,mbak
ncek,encek
jendral,jenderal
taon,tahun
abis,habis
anugrah,anugerah
kliatan,kelihatan
da,ada
ngeh,engah
kususnya,khususnya
ajaaahhhhh,saja
taek,tahi
taekk,tahi
kasiannn,kasihan
yoo,ayo
cewe,cewek
cowo,cowok
idup,hidup
emang,memang
idupnya,hidupnya
sunggu,sungguh
aje,saja
keliatannya,kelihatannya
liatnyaaa,lihatnya
mbuh,embuh
waaa,wah
kasi,kasih
apal,hapal
silahkan,silakan
menjelekan,menjelekkan
sbagai,sebagai
dasyat,dahsyat
skalii,sekali
prempuan,perempuan
nggeh,engah
smangat,semangat
yuu,yuk
yuuu,yuk
latian,latihan
ancurrr,hancur
njirrr,anjir
njayyy,anjay
ntah,entah
abiz,habis
abizzz,habis
lenje,lenjeh
brisi,berisi
pokonya,pokoknya
mrusak,merusak
ketauan,ketahuan
perna,pernah
diliat,dilihat
liatlah,lihatlah
skolah,sekolah
klas,kelas
liat2,lihat-lihat
rana,ranah
rezki,rezeki
trussss,terus
boong,bohong
kasiatnya,khasiatnya
trasa,terasa
udehh,sudah
ade,adek
mbanya,mbaknya
so,sok
adenya,adeknya
janka,jangka
brita,berita
idung,hidung
poko,pokok
brubah,berubah
kaga,kagak
suda,sudah
ema,emak
apus,hapus
glembeeeer,gelambir
tai,tahi
hianatin,khianati
kwatir,kawatir
kaya,kayak
pacaranya,pacarannya
de,dek
kliatanya,kelihatannya
udahlah,sudahlah
bhet,banget
de,deh
brapa,berapa
si,sih
taik,tahi
klahiran,kelahiran
gimanaaaa,bagaimana
emangnya,memangnya
idungnya,hidungnya
thu,itu
ancur,hancur
hayal,khayal
bedua,berdua
kreeenn,keren
abisss,habis
abiiiss,habis
dee,dek
liaat,lihat
udeh,sudah
bodhooo,bodoh
bodhoo,bodoh
smuaaa,semua
kasiian,kasihan
mrekaa,mereka
usa,usah
kriput,keriput
kacian,kasihan
cape,capek
klakuan,kelakuan
berkluarga,berkeluarga
brasa,berasa
trutama,terutama
da,dah
abiss,habis
britanya,beritanya
prasaan,perasaan
slaluuuuu,selalu
brusaha,berusaha
trusss,terus
klihatan,kelihatan
kaasian,kasihan
liatt,lihat
blum,belum
krudung,kerudung
smogaaa,semoga
smulla,semula
